name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
srinavarasacandrika,,20,,,"S,R2,G2,M1,P,D1,Ṡ","Ṡ,D1,P,M1,G2,R2,S",
sri,,22,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,P,D2,N2,P,M1,R2,G2,R2,S",
srikAnti,,46,,,"S,G2,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,G2,S",
srImani,,2,,,"S,R1,G1,P,D1,Ṡ","Ṡ,N2,D1,P,G1,R1,S",
SrImati,,2,,,"S,R1,G1,P,D1,Ṡ","Ṡ,N2,D1,P,G1,R1,S",
SrImati,,8,,,"S,G2,R1,G2,M1,P,D1,P,D2,N2,Ṡ","Ṡ,N2,D1,P,M1,P,M1,G2,R1,S",
SrIrangapriya,,27,,,"S,R2,G3,M1,P,D1,Ṡ","Ṡ,D1,P,M1,G3,R2,S",
SrIranjani,,22,,,"S,R2,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,R2,S",
SthavarAjam,,46,,,"S,R1,M2,P,D2,Ṡ","Ṡ,N2,D2,M2,G2,S",
SubhapantuvarALi,45,NULL,Vasu,,"S,R1,G2,M2,P,D1,N1,S","S,N1,D1,P,M2,G2,R1,S",
subhAshini,,16,,,"S,D2,N2,D,R1,G3,M1,P","M1,G3,R1,S,N2,D2,N2,S",
sucaritra,67,NULL,Aditya,,"S,R3,G3,M2,P,D1,N1,S","S,N1,D1,P,M2,G3,R3,S",
Suddha bangAla,,22,,,"S,R2,M1,P,D2,Ṡ","Ṡ,D2,P,M1,R2,G2,R2,S",
Suddha bhairavi,,22,,,"S,G2,M1,P,N2,D2,Ṡ","Ṡ,N2,D2,M1,G2,R2,S",
Suddha Desi,,20,,,"S,R2,G2,R2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R2,S",
Suddha dhanyAsi,,22,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G2,S",
Suddha gAndhAri,,48,,,"S,R1,G2,M2,N3,Ṡ","Ṡ,N3,D3,N3,S,N3,P,M2,R1,S",
Suddha gauLa,,17,,,"S,R1,M1,P,N3,Ṡ","Ṡ,N3,P,M1,R1,S",
Suddha hindOLam,,22,,Varamu,"S,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,S",
Suddha kAmbhOji,,14,,,"S,G3,R1,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G3,R1,S",
Suddha khamAs,,28,,,"S,M1,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
Suddha KoSala,,65,,,"S,G3,M2,P,Ṡ","Ṡ,N3,D2,M2,G3,R2,S",
Suddha lalita,,11,,,"S,P,M1,D2,N3,Ṡ","Ṡ,N3,S,D2,P,M1,G2,R1,S",
Suddha mAlavi,,29,,,"S,R2,G3,M1,P,N3,Ṡ","Ṡ,D2,N3,P,M1,G3,R2,S",
Suddha manOhari,,22,,,"S,R2,G2,M1,P,D2,Ṡ","Ṡ,N2,P,M1,R2,G2,S",
Suddha mukhAri,,1,,,"S,R1,M1,P,D1,Ṡ","Ṡ,N1,D1,P,M1,G1,R1,S",
Suddha SAlavi,,20,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,R2,S",
Suddha SArang {Hindustani},,65,,,"N3,S,R2,M2,P,N3,Ṡ","Ṡ,N3,D2,P,M2,P,M1,R2,S,N3,S",M1
Suddha sArang,,29,,,"S,R2,G3,M1,P,D2,N3,D2,Ṡ","Ṡ,D2,P,M1,R2,G3,R2,S",
